Stage;Date;Distance;Type;Mark;Winner;Winner_Country
1;2017;14;Individual time trial;ITT;Geraint Thomas;GBR
2;2017;203.5;Flat stage;F;Marcel Kittel;GER
3;2017;212.5;Medium mountain stage;H;Peter Sagan;SVK
4;2017;207.5;Flat stage;F;Arnaud Démare;FRA
5;2017;160.5;Medium mountain stage;H;Fabio Aru;ITA
6;2017;216;Flat stage;F;Marcel Kittel;GER
7;2017;213.5;Flat stage;F;Marcel Kittel;GER
8;2017;187.5;Medium mountain stage;H;Lilian Calmejane;FRA
9;2017;181.5;High mountain stage;M;Rigoberto Urán;COL
10;2017;178;Flat stage;F;Marcel Kittel;GER
11;2017;203.5;Flat stage;F;Marcel Kittel;GER
12;2017;214.5;High mountain stage;M;Romain Bardet;FRA
13;2017;101;High mountain stage;M;Warren Barguil;FRA
14;2017;181.5;Medium mountain stage;H;Michael Matthews;AUS
15;2017;189.5;Medium mountain stage;H;Bauke Mollema;NED
16;2017;165;Medium mountain stage;H;Michael Matthews;AUS
17;2017;183;High mountain stage;M;Primož Rogli?;SLO
18;2017;179.5;High mountain stage;M;Warren Barguil;FRA
19;2017;222.5;Flat stage;F;Edvald Boasson Hagen;NOR
20;2017;22.5;Individual time trial;ITT;Maciej Bodnar;POL
21;2017;103;Flat stage;F;Dylan Groenewegen;NED
1;2016;188;Flat stage;F;Mark Cavendish;GBR
2;2016;183;Flat stage;F;Peter Sagan;SVK
3;2016;223.5;Flat stage;F;Mark Cavendish;GBR
4;2016;237.5;Flat stage;F;Marcel Kittel;GER
5;2016;216;Medium mountain stage;H;Greg Van Avermaet;BEL
6;2016;190.5;Flat stage;F;Mark Cavendish;GBR
7;2016;162.5;Medium mountain stage;H;Steve Cummings;GBR
8;2016;184;High mountain stage;M;Chris Froome;GBR
9;2016;184.5;High mountain stage;M;Tom Dumoulin;NED
10;2016;197;Medium mountain stage;H;Michael Matthews;AUS
11;2016;162.5;Flat stage;F;Peter Sagan;SVK
12;2016;178;High mountain stage;M;Thomas De Gendt;BEL
13;2016;37.5;Individual time trial;ITT;Tom Dumoulin;NED
14;2016;208.5;Flat stage;F;Mark Cavendish;GBR
15;2016;160;High mountain stage;M;Jarlinson Pantano;COL
16;2016;209;Flat stage;F;Peter Sagan;SVK
17;2016;184.5;High mountain stage;M;Ilnur Zakarin;RUS
18;2016;17;Mountain time trial;MTT;Chris Froome;GBR
19;2016;146;High mountain stage;M;Romain Bardet;FRA
20;2016;146.5;High mountain stage;M;Ion Izagirre;ESP
21;2016;113;Flat stage;F;André Greipel;GER
1;2015;13.8;Individual time trial;ITT;Rohan Dennis;AUS
2;2015;166;Flat stage;F;André Greipel;GER
3;2015;159.5;Flat stage;F;Joaquim Rodríguez;ESP
4;2015;223.5;Medium mountain stage;H;Tony Martin;GER
5;2015;189.5;Flat stage;F;André Greipel;GER
6;2015;191.5;Flat stage;F;Zden?k Štybar;CZE
7;2015;190.5;Flat stage;F;Mark Cavendish;GBR
8;2015;181.5;Flat stage;F;Alexis Vuillermoz;FRA
9;2015;28;Team time trial;TTT;BMC Racing Team;
10;2015;167;High mountain stage;M;Chris Froome;GBR
11;2015;188;High mountain stage;M;Rafa? Majka;POL
12;2015;195;High mountain stage;M;Joaquim Rodríguez;ESP
13;2015;198.5;Medium mountain stage;H;Greg Van Avermaet;BEL
14;2015;178.5;Medium mountain stage;H;Steve Cummings;GBR
15;2015;183;Medium mountain stage;H;André Greipel;GER
16;2015;201;Medium mountain stage;H;Rubén Plaza Molina;ESP
17;2015;161;High mountain stage;M;Simon Geschke;GER
18;2015;186.5;High mountain stage;M;Romain Bardet;FRA
19;2015;138;High mountain stage;M;Vincenzo Nibali;ITA
20;2015;110.5;High mountain stage;M;Thibaut Pinot;FRA
21;2015;109.5;Flat stage;F;André Greipel;GER
1;2014;190.5;Flat stage;F;Marcel Kittel;GER
2;2014;201;Medium mountain stage;H;Vincenzo Nibali;ITA
3;2014;155;Flat stage;F;Marcel Kittel;GER
4;2014;163.5;Flat stage;F;Marcel Kittel;GER
5;2014;152.5;Medium mountain stage;H;Lars Boom;NED
6;2014;194;Flat stage;F;André Greipel;GER
7;2014;234.5;Flat stage;F;Matteo Trentin;ITA
8;2014;161;Medium mountain stage;H;Blel Kadri;FRA
9;2014;170;Medium mountain stage;H;Tony Martin;GER
10;2014;161.5;High mountain stage;M;Vincenzo Nibali;ITA
11;2014;187.5;Medium mountain stage;H;Tony Gallopin;FRA
12;2014;185.5;Flat stage;F;Alexander Kristoff;NOR
13;2014;197.5;High mountain stage;M;Vincenzo Nibali;ITA
14;2014;177;High mountain stage;M;Rafa? Majka;POL
15;2014;222;Flat stage;F;Alexander Kristoff;NOR
16;2014;237.5;High mountain stage;M;Michael Rogers;AUS
17;2014;124.5;High mountain stage;M;Rafa? Majka;POL
18;2014;145.5;High mountain stage;M;Vincenzo Nibali;ITA
19;2014;208.5;Flat stage;F;Ram?nas Navardauskas;LTU
20;2014;54;Individual time trial;ITT;Tony Martin;GER
21;2014;137.5;Flat stage;F;Marcel Kittel;GER
1;2013;213;Flat stage;F;Marcel Kittel;GER
2;2013;156;Medium mountain stage;H;Jan Bakelants;BEL
3;2013;145.5;Medium mountain stage;H;Simon Gerrans;AUS
4;2013;25;Team time trial;TTT;Orica–GreenEDGE;
5;2013;228.5;Flat stage;F;Mark Cavendish;GBR
6;2013;176.5;Flat stage;F;André Greipel;GER
7;2013;205.5;Flat stage;F;Peter Sagan;SVK
8;2013;195;High mountain stage;M;Chris Froome;GBR
9;2013;168.5;High mountain stage;M;Dan Martin;IRL
10;2013;197;Flat stage;F;Marcel Kittel;GER
11;2013;33;Individual time trial;ITT;Tony Martin;GER
12;2013;218;Flat stage;F;Marcel Kittel;GER
13;2013;173;Flat stage;F;Mark Cavendish;GBR
14;2013;191;Medium mountain stage;H;Matteo Trentin;ITA
15;2013;242.5;High mountain stage;M;Chris Froome;GBR
16;2013;168;High mountain stage;M;Rui Costa;POR
17;2013;32;Individual time trial;ITT;Chris Froome;GBR
18;2013;172.5;High mountain stage;M;Christophe Riblon;FRA
19;2013;204.5;High mountain stage;M;Rui Costa;POR
20;2013;125;High mountain stage;M;Nairo Quintana;COL
21;2013;133.5;Flat stage;F;Marcel Kittel;GER
P;2012;6.4;Individual time trial;ITT;Fabian Cancellara;SUI
1;2012;198;Flat stage;F;Peter Sagan;SVK
2;2012;207.5;Flat stage;F;Mark Cavendish;GBR
3;2012;197;Medium mountain stage;H;Peter Sagan;SVK
4;2012;214.5;Flat stage;F;André Greipel;GER
5;2012;196.5;Flat stage;F;André Greipel;GER
6;2012;207.5;Flat stage;F;Peter Sagan;SVK
7;2012;199;Medium mountain stage;H;Chris Froome;GBR
8;2012;157.5;Medium mountain stage;H;Thibaut Pinot;FRA
9;2012;41.5;Individual time trial;ITT;Bradley Wiggins;GBR
10;2012;194.5;High mountain stage;M;Thomas Voeckler;FRA
11;2012;148;High mountain stage;M;Pierre Rolland;FRA
12;2012;226;Medium mountain stage;H;David Millar;GBR
13;2012;217;Flat stage;F;André Greipel;GER
14;2012;191;High mountain stage;M;Luis León Sánchez;ESP
15;2012;158.5;Flat stage;F;Pierrick Fédrigo;FRA
16;2012;197;High mountain stage;M;Thomas Voeckler;FRA
17;2012;143.5;High mountain stage;M;Alejandro Valverde;ESP
18;2012;222.5;Flat stage;F;Mark Cavendish;GBR
19;2012;53.5;Individual time trial;ITT;Bradley Wiggins;GBR
20;2012;120;Flat stage;F;Mark Cavendish;GBR
1;2011;191.5;Flat stage;F;Philippe Gilbert;BEL
2;2011;23;Team time trial;TTT;Garmin–Cervélo;
3;2011;198;Flat stage;F;Tyler Farrar;USA
4;2011;172.5;Flat stage;F;Cadel Evans;AUS
5;2011;164.5;Flat stage;F;Mark Cavendish;GBR
6;2011;226.5;Flat stage;F;Edvald Boasson Hagen;NOR
7;2011;218;Flat stage;F;Mark Cavendish;GBR
8;2011;189;Medium mountain stage;H;Rui Costa;POR
9;2011;208;Medium mountain stage;H;Luis León Sánchez;ESP
10;2011;158;Flat stage;F;André Greipel;GER
11;2011;167.5;Flat stage;F;Mark Cavendish;GBR
12;2011;211;High mountain stage;M;Samuel Sánchez;ESP
13;2011;152.5;High mountain stage;M;Thor Hushovd;NOR
14;2011;168.5;High mountain stage;M;Jelle Vanendert;BEL
15;2011;192.5;Flat stage;F;Mark Cavendish;GBR
16;2011;162.5;Medium mountain stage;H;Thor Hushovd;NOR
17;2011;179;High mountain stage;M;Edvald Boasson Hagen;NOR
18;2011;200.5;High mountain stage;M;Andy Schleck;LUX
19;2011;109.5;High mountain stage;M;Pierre Rolland;FRA
20;2011;42.5;Individual time trial;ITT;Tony Martin;GER
21;2011;95;Flat stage;F;Mark Cavendish;GBR
P;2010;8.9;Individual time trial;ITT;Fabian Cancellara;SUI
1;2010;223.5;Flat stage;F;Alessandro Petacchi;ITA
2;2010;201;Flat stage;F;Sylvain Chavanel;FRA
3;2010;213;Flat cobblestone stage;FC;Thor Hushovd;NOR
4;2010;153.5;Flat stage;F;Alessandro Petacchi;ITA
5;2010;187.5;Flat stage;F;Mark Cavendish;GBR
6;2010;227.5;Flat stage;F;Mark Cavendish;GBR
7;2010;165.5;Medium mountain stage;H;Sylvain Chavanel;FRA
8;2010;189;Mountain stage;M;Andy Schleck;LUX
9;2010;204.5;Mountain stage;M;Sandy Casar;FRA
10;2010;179;Medium mountain stage;H;Sérgio Paulinho;POR
11;2010;184.5;Flat stage;F;Mark Cavendish;GBR
12;2010;210.5;Medium mountain stage;H;Joaquim Rodríguez;ESP
13;2010;196;Flat stage;F;Alexander Vinokourov;KAZ
14;2010;184.5;Mountain stage;M;Christophe Riblon;FRA
15;2010;187.5;Mountain stage;M;Thomas Voeckler;FRA
16;2010;199.5;Mountain stage;M;Pierrick Fédrigo;FRA
17;2010;174;Mountain stage;M;Andy Schleck;LUX
18;2010;198;Flat stage;F;Mark Cavendish;GBR
19;2010;52;Individual time trial;ITT;Fabian Cancellara;SUI
20;2010;102.5;Flat stage;F;Mark Cavendish;GBR
1;2009;15.5;Individual time trial;ITT;Fabian Cancellara;SUI
2;2009;187;Flat stage;F;Mark Cavendish;GBR
3;2009;196.5;Flat stage;F;Mark Cavendish;GBR
4;2009;39;Team time trial;TTT;Astana;
5;2009;196.5;Flat stage;F;Thomas Voeckler;FRA
6;2009;181.5;Flat stage;F;Thor Hushovd;NOR
7;2009;224;Mountain stage;M;Brice Feillu;FRA
8;2009;176.5;Mountain stage;M;Luis León Sánchez;ESP
9;2009;160.5;Mountain stage;M;Pierrick Fédrigo;FRA
10;2009;194.5;Flat stage;F;Mark Cavendish;GBR
11;2009;192;Flat stage;F;Mark Cavendish;GBR
12;2009;211.5;Flat stage;F;Nicki Sørensen;DEN
13;2009;200;Medium mountain stage;H;Heinrich Haussler;GER
14;2009;199;Flat stage;F;Sergei Ivanov;RUS
15;2009;207.5;Mountain Stage;M;Alberto Contador;ESP
16;2009;159;Mountain Stage;M;Sandy Casar;FRA
17;2009;169.5;Mountain Stage;M;Fränk Schleck;LUX
18;2009;40.5;Individual time trial;ITT;Alberto Contador;ESP
19;2009;178;Flat stage;F;Mark Cavendish;GBR
20;2009;167;Mountain stage;M;Juan Manuel Gárate;ESP
21;2009;164;Flat stage;F;Mark Cavendish;GBR
1;2008;197.5;Flat stage;F;Alejandro Valverde;ESP
2;2008;164.5;Flat stage;F;Thor Hushovd;NOR
3;2008;208;Flat stage;F;Samuel Dumoulin;FRA
4;2008;29.5;Individual time trial;ITT;Kim Kirchen;LUX
5;2008;232;Flat stage;F;Mark Cavendish;GBR
6;2008;195.5;Transition stage;Transition stage;Alejandro Valverde;ESP
7;2008;159;Transition stage;Transition stage;Luis León Sánchez;ESP
8;2008;172.5;Flat stage;F;Mark Cavendish;GBR
9;2008;224;Mountain stage;M;Vladimir Efimkin;RUS
10;2008;156;Mountain stage;M;Juan José Cobo;ESP
11;2008;167.5;Transition stage;Transition stage;Kurt Asle Arvesen;NOR
12;2008;168.5;Flat stage;F;Mark Cavendish;GBR
13;2008;182;Flat stage;F;Mark Cavendish;GBR
14;2008;194.5;Flat stage;F;Óscar Freire;ESP
15;2008;183;Mountain stage;M;Simon Gerrans;AUS
16;2008;157;Mountain stage;M;Cyril Dessel;FRA
17;2008;210.5;Mountain stage;M;Carlos Sastre;ESP
18;2008;196.5;Transition stage;Transition stage;Marcus Burghardt;GER
19;2008;165.5;Flat stage;F;Sylvain Chavanel;FRA
20;2008;53;Individual time trial;ITT;Fabian Cancellara;SUI
21;2008;143;Flat stage;F;Gert Steegmans;BEL
P;2007;7.9;Individual time trial;ITT;Fabian Cancellara;SUI
1;2007;203;Plain stage;F;Robbie McEwen;AUS
2;2007;168.5;Plain stage;F;Gert Steegmans;BEL
3;2007;236.5;Plain stage;F;Fabian Cancellara;SUI
4;2007;193;Plain stage;F;Thor Hushovd;NOR
5;2007;182.5;Intermediate stage;H;Filippo Pozzato;ITA
6;2007;199.5;Plain stage;F;Tom Boonen;BEL
7;2007;197.5;Mountain stage;M;Linus Gerdemann;GER
8;2007;165;Mountain stage;M;Michael Rasmussen;DEN
9;2007;159.5;Mountain stage;M;Mauricio Soler;COL
10;2007;229.5;Plain stage;F;Cédric Vasseur;FRA
11;2007;182.5;Plain stage;F;Robert Hunter;RSA
12;2007;178.5;Intermediate stage;H;Tom Boonen;BEL
13;2007;54;Individual time trial;ITT;Cadel Evans;AUS
14;2007;197;Mountain stage;M;Alberto Contador;ESP
15;2007;196;Mountain stage;M;Kim Kirchen;LUX
16;2007;218.5;Mountain stage;M;Michael Rasmussen;DEN
17;2007;188.5;Intermediate stage;H;Daniele Bennati;ITA
18;2007;211;Plain stage;F;Sandy Casar;FRA
19;2007;55.5;Individual time trial;ITT;Levi Leipheimer;USA
20;2007;146;Plain stage;F;Daniele Bennati;ITA
P;2006;7.1;Individual time trial;ITT;Thor Hushovd;NOR
1;2006;184.5;Flat stage;F;Jimmy Casper;FRA
2;2006;228.5;Flat stage;F;Robbie McEwen;AUS
3;2006;216.5;Hilly stage;H;Matthias Kessler;GER
4;2006;207;Flat stage;F;Robbie McEwen;AUS
5;2006;225;Flat stage;F;Óscar Freire;ESP
6;2006;189;Flat stage;F;Robbie McEwen;AUS
7;2006;52;Individual time trial;ITT;Serhiy Honchar;UKR
8;2006;181;Flat stage;F;Sylvain Calzati;FRA
9;2006;169.5;Flat stage;F;Óscar Freire;ESP
10;2006;190.5;Mountain stage;M;Juan Miguel Mercado;ESP
11;2006;206.5;Mountain stage;M;Denis Menchov;RUS
12;2006;211.5;Hilly stage;H;Yaroslav Popovych;UKR
13;2006;230;Flat stage;F;Jens Voigt;GER
14;2006;180.5;Hilly stage;H;Pierrick Fédrigo;FRA
15;2006;187;Mountain stage;M;Fränk Schleck;LUX
16;2006;182;Mountain stage;M;Michael Rasmussen;DEN
17;2006;200.5;Mountain stage;M;Carlos Sastre;ESP
18;2006;197;Flat stage;F;Matteo Tosatto;ITA
19;2006;57;Individual time trial;ITT;Serhiy Honchar;UKR
20;2006;154.5;Flat stage;F;Thor Hushovd;NOR
1;2005;19;Individual time trial;ITT;David Zabriskie;USA
2;2005;181.5;Plain stage;F;Tom Boonen;BEL
3;2005;212.5;Plain stage;F;Tom Boonen;BEL
4;2005;67.5;Team time trial;TTT;Discovery Channel;
5;2005;183;Plain stage;F;Robbie McEwen;AUS
6;2005;199;Plain stage;F;Lorenzo Bernucci;ITA
7;2005;228.5;Plain stage;F;Robbie McEwen;AUS
8;2005;231.5;Hilly stage;H;Pieter Weening;NED
9;2005;171;Hilly stage;H;Michael Rasmussen;DEN
10;2005;177;Mountain stage;M;Alejandro Valverde;ESP
11;2005;173;Mountain stage;M;Alexander Vinokourov;KAZ
12;2005;187;Hilly stage;H;David Moncoutié;FRA
13;2005;173.5;Plain stage;F;Robbie McEwen;AUS
14;2005;220.5;Mountain stage;M;Georg Totschnig;AUT
15;2005;205.5;Mountain stage;M;George Hincapie;USA
16;2005;180.5;Mountain stage;M;Óscar Pereiro;ESP
17;2005;239.5;Plain stage;F;Paolo Savoldelli;ITA
18;2005;189;Hilly stage;H;Marcos Antonio Serrano;ESP
19;2005;153.5;Hilly stage;H;Giuseppe Guerini;ITA
20;2005;55.5;Individual time trial;ITT;Lance Armstrong;USA
21;2005;144.5;Plain stage;F;Alexander Vinokourov;KAZ
P;2004;6.1;Individual time trial;ITT;Fabian Cancellara;SUI
1;2004;202.5;Plain stage;F;Jaan Kirsipuu;EST
2;2004;197;Plain stage;F;Robbie McEwen;AUS
3;2004;210;Plain stage;F;Jean-Patrick Nazon;FRA
4;2004;64.5;Team time trial;TTT;U.S. Postal Service;USA
5;2004;200.5;Plain stage;F;Stuart O'Grady;AUS
6;2004;196;Plain stage;F;Tom Boonen;BEL
7;2004;204.5;Plain stage;F;Filippo Pozzato;ITA
8;2004;168;Plain stage;F;Thor Hushovd;NOR
9;2004;160.5;Plain stage;F;Robbie McEwen;AUS
10;2004;237;Hilly stage;H;Richard Virenque;FRA
11;2004;164;Hilly stage;H;David Moncoutié;FRA
12;2004;197.5;Mountain stage;M;Ivan Basso;ITA
13;2004;205.5;Mountain stage;M;Lance Armstrong;USA
14;2004;192.5;Plain stage;F;Aitor González;ESP
15;2004;180.5;Mountain stage;M;Lance Armstrong;USA
16;2004;15.5;Individual time trial;ITT;Lance Armstrong;USA
17;2004;204.5;Mountain stage;M;Lance Armstrong;USA
18;2004;166.5;Hilly stage;H;Juan Miguel Mercado;ESP
19;2004;55;Individual time trial;ITT;Lance Armstrong;USA
20;2004;163;Plain stage;F;Tom Boonen;BEL
P;2003;6.5;Individual time trial;ITT;Bradley McGee;AUS
1;2003;168;Plain stage;F;Alessandro Petacchi;ITA
2;2003;204.5;Plain stage;F;Baden Cooke;AUS
3;2003;167.5;Plain stage;F;Alessandro Petacchi;ITA
4;2003;69;Team time trial;TTT;U.S. Postal Service;USA
5;2003;196.5;Plain stage;F;Alessandro Petacchi;ITA
6;2003;230;Plain stage;F;Alessandro Petacchi;ITA
7;2003;230.5;Stage with mountain(s);M;Richard Virenque;FRA
8;2003;219;Stage with mountain(s);M;Iban Mayo;ESP
9;2003;184.5;Stage with mountain(s);M;Alexander Vinokourov;KAZ
10;2003;219.5;Plain stage;F;Jakob Piil;DEN
11;2003;153.5;Plain stage;F;Juan Antonio Flecha;ESP
12;2003;47;Individual time trial;ITT;Jan Ullrich;GER
13;2003;197.5;Stage with mountain(s);M;Carlos Sastre;ESP
14;2003;191.5;Stage with mountain(s);M;Gilberto Simoni;ITA
15;2003;159.5;Stage with mountain(s);M;Lance Armstrong;USA
16;2003;197.5;Stage with mountain(s);M;Tyler Hamilton;USA
17;2003;181;Plain stage;F;Servais Knaven;NED
18;2003;203.5;Plain stage;F;Pablo Lastras;ESP
19;2003;49;Individual time trial;ITT;David Millar;GBR
20;2003;152;Plain stage;F;Jean-Patrick Nazon;FRA
P;2002;7;Individual time trial;ITT;Lance Armstrong;USA
1;2002;192.5;Plain stage;F;Rubens Bertogliati;SUI
2;2002;181;Plain stage;F;Óscar Freire;ESP
3;2002;174.5;Plain stage;F;Robbie McEwen;AUS
4;2002;67.5;Team time trial;TTT;ONCE–Eroski;
5;2002;195;Plain stage;F;Jaan Kirsipuu;EST
6;2002;199.5;Plain stage;F;Erik Zabel;GER
7;2002;176;Plain stage;F;Bradley McGee;AUS
8;2002;217.5;Plain stage;F;Karsten Kroon;NED
9;2002;52;Individual time trial;ITT;Santiago Botero;COL
10;2002;147;Plain stage;F;Patrice Halgand;FRA
11;2002;158;Stage with mountain(s);M;Lance Armstrong;USA
12;2002;199.5;Stage with mountain(s);M;Lance Armstrong;USA
13;2002;171;Plain stage;F;David Millar;GBR
14;2002;221;Stage with mountain(s);M;Richard Virenque;FRA
15;2002;226.5;Hilly stage;H;Santiago Botero;COL
16;2002;179.5;Stage with mountain(s);M;Michael Boogerd;NED
17;2002;142;Stage with mountain(s);M;Dario Frigo;ITA
18;2002;176.5;Hilly stage;H;Thor Hushovd;NOR
19;2002;50;Individual time trial;ITT;Lance Armstrong;USA
20;2002;144;Plain stage;F;Robbie McEwen;AUS
P;2001;8.2;Individual time trial;ITT;Christophe Moreau;FRA
1;2001;194.5;Plain stage;F;Erik Zabel;GER
2;2001;220.5;Plain stage;F;Marc Wauters;BEL
3;2001;198.5;Plain stage;F;Erik Zabel;GER
4;2001;215;Plain stage;F;Laurent Jalabert;FRA
5;2001;67;Team time trial;TTT;Crédit Agricole;
6;2001;211.5;Plain stage;F;Jaan Kirsipuu;EST
7;2001;162.5;Hilly stage;H;Laurent Jalabert;FRA
8;2001;222.5;Plain stage;F;Erik Dekker;NED
9;2001;185;Plain stage;F;Serguei Ivanov;RUS
10;2001;209;Stage with mountain(s);M;Lance Armstrong;USA
11;2001;32;Individual time trial;ITT;Lance Armstrong;USA
12;2001;166.5;Stage with mountain(s);M;Félix Cárdenas;COL
13;2001;194;Stage with mountain(s);M;Lance Armstrong;USA
14;2001;141.5;Stage with mountain(s);M;Roberto Laiseka;ESP
15;2001;232.5;Plain stage;F;Rik Verbrugghe;BEL
16;2001;229.5;Plain stage;F;Jens Voigt;GER
17;2001;194;Plain stage;F;Serge Baguet;BEL
18;2001;61;Individual time trial;ITT;Lance Armstrong;USA
19;2001;149.5;Plain stage;F;Erik Zabel;GER
20;2001;160.5;Plain stage;F;Ján Svorada;CZE
1;2000;16.5;Individual time trial;ITT;David Millar;GBR
2;2000;194;Plain stage;F;Tom Steels;BEL
3;2000;161.5;Plain stage;F;Tom Steels;BEL
4;2000;70;Team time trial;TTT;ONCE–Deutsche Bank;
5;2000;202;Plain stage;F;Marcel Wüst;GER
6;2000;198.5;Plain stage;F;Leon van Bon;NED
7;2000;205.5;Plain stage;F;Christophe Agnolutto;FRA
8;2000;203.5;Plain stage;F;Erik Dekker;NED
9;2000;181;Plain stage;F;Paolo Bettini;ITA
10;2000;205;Stage with mountain(s);M;Javier Otxoa;ESP
11;2000;218.5;Hilly stage;H;Erik Dekker;NED
12;2000;149;Stage with mountain(s);M;Marco Pantani;ITA
13;2000;185.5;Plain stage;F;José Vicente Garcia;ESP
14;2000;249.5;Stage with mountain(s);M;Santiago Botero;COL
15;2000;173.5;Stage with mountain(s);M;Marco Pantani;ITA
16;2000;196.5;Stage with mountain(s);M;Richard Virenque;FRA
17;2000;155;Hilly stage;H;Erik Dekker;NED
18;2000;246.5;Plain stage;F;Salvatore Commesso;ITA
19;2000;58.5;Individual time trial;ITT;Lance Armstrong;USA
20;2000;254.5;Plain stage;F;Erik Zabel;GER
21;2000;138;Plain stage;F;Stefano Zanini;ITA
P;1999;6.8;Individual time trial;ITT;Lance Armstrong;USA
1;1999;208;Plain stage;F;Jaan Kirsipuu;EST
2;1999;176;Plain stage;F;Tom Steels;BEL
3;1999;194.5;Plain stage;F;Tom Steels;BEL
4;1999;194.5;Plain stage;F;Mario Cipollini;ITA
5;1999;233.5;Plain stage;F;Mario Cipollini;ITA
6;1999;171.5;Plain stage;F;Mario Cipollini;ITA
7;1999;227;Plain stage;F;Mario Cipollini;ITA
8;1999;56.5;Individual time trial;ITT;Lance Armstrong;USA
9;1999;213.5;Stage with mountain(s);M;Lance Armstrong;USA
10;1999;220.5;Stage with mountain(s);M;Giuseppe Guerini;ITA
11;1999;198.5;Hilly stage;H;Ludo Dierckxsens;BEL
12;1999;201.5;Hilly stage;H;David Etxebarria;ESP
13;1999;236.5;Hilly stage;H;Salvatore Commesso;ITA
14;1999;199;Plain stage;F;Dmitri Konychev;RUS
15;1999;173;Stage with mountain(s);M;Fernando Escartín;ESP
16;1999;192;Stage with mountain(s);M;David Etxebarria;ESP
17;1999;200;Plain stage;F;Tom Steels;BEL
18;1999;187.5;Plain stage;F;Giampaolo Mondini;ITA
19;1999;57;Individual time trial;ITT;Lance Armstrong;USA
20;1999;143.5;Plain stage;F;Robbie McEwen;AUS
P;1998;5.6;Individual time trial;ITT;Chris Boardman;GBR
1;1998;180.5;Plain stage;F;Tom Steels;BEL
2;1998;205.5;Plain stage;F;Ján Svorada;CZE
3;1998;169;Plain stage;F;Jens Heppner;GER
4;1998;252;Plain stage;F;Jeroen Blijlevens;NED
5;1998;228.5;Plain stage;F;Mario Cipollini;ITA
6;1998;204.5;Plain stage;F;Mario Cipollini;ITA
7;1998;58;Individual time trial;ITT;Jan Ullrich;GER
8;1998;190.5;Plain stage;F;Jacky Durand;FRA
9;1998;210;Plain stage;F;Leon van Bon;NED
10;1998;196.5;Stage with mountain(s);M;Rodolfo Massi;ITA
11;1998;170;Stage with mountain(s);M;Marco Pantani;ITA
12;1998;222;Plain stage;F;Tom Steels;BEL
13;1998;196;Plain stage;F;Daniele Nardello;ITA
14;1998;186.5;Hilly stage;H;Stuart O'Grady;AUS
15;1998;189;Stage with mountain(s);M;Marco Pantani;ITA
16;1998;204;Stage with mountain(s);M;Jan Ullrich;GER
17;1998;149;Stage with mountain(s);M;—;
18;1998;218.5;Hilly stage;H;Tom Steels;BEL
19;1998;242;Plain stage;F;Magnus Bäckstedt;SWE
20;1998;52;Individual time trial;ITT;Jan Ullrich;GER
21;1998;147.5;Plain stage;F;Tom Steels;BEL
P;1997;7.3;Individual time trial;ITT;Chris Boardman;GBR
1;1997;192;Flat stage;F;Mario Cipollini;ITA
2;1997;262;Flat stage;F;Mario Cipollini;ITA
3;1997;224;Flat stage;F;Erik Zabel;GER
4;1997;223;Flat stage;F;Nicola Minali;ITA
5;1997;261.5;Flat stage;F;Cédric Vasseur;FRA
6;1997;217.5;Flat stage;F;Jeroen Blijlevens;NED
7;1997;194;Flat stage;F;Erik Zabel;GER
8;1997;161.5;Flat stage;F;Erik Zabel;GER
9;1997;182;Mountain stage;M;Laurent Brochard;FRA
10;1997;252.5;Mountain stage;M;Jan Ullrich;GER
11;1997;192;Hilly stage;H;Laurent Desbiens;FRA
12;1997;55;Individual time trial;ITT;Jan Ullrich;GER
13;1997;203.5;Mountain stage;M;Marco Pantani;ITA
14;1997;148;Mountain stage;M;Richard Virenque;FRA
15;1997;208.5;Mountain stage;M;Marco Pantani;ITA
16;1997;181;Hilly stage;H;Christophe Mengin;FRA
17;1997;218.5;Flat stage;F;Neil Stephens;AUS
18;1997;175.5;Hilly stage;H;Didier Rous;FRA
19;1997;172;Flat stage;F;Mario Traversoni;ITA
20;1997;63;Individual time trial;ITT;Abraham Olano;ESP
21;1997;149.5;Flat stage;F;Nicola Minali;ITA
P;1996;9.4;Individual time trial;ITT;Alex Zülle;SUI
1;1996;209;Plain stage;F;Frédéric Moncassin;FRA
2;1996;247.5;Plain stage;F;Mario Cipollini;ITA
3;1996;195;Plain stage;F;Erik Zabel;GER
4;1996;232;Plain stage;F;Cyril Saugrain;FRA
5;1996;242;Plain stage;F;Jeroen Blijlevens;NED
6;1996;207;Hilly stage;H;Michael Boogerd;NED
7;1996;200;Stage with mountain(s);M;Luc Leblanc;FRA
8;1996;30.5;Individual time trial;ITT;Evgueni Berzin;RUS
9;1996;46;Stage with mountain(s);M;Bjarne Riis;DEN
10;1996;208.5;Hilly stage;H;Erik Zabel;GER
11;1996;202;Hilly stage;H;José Jaime Gonzalez;COL
12;1996;143.5;Hilly stage;H;Pascal Richard;SUI
13;1996;177;Hilly stage;H;Rolf Sørensen;DEN
14;1996;186.5;Hilly stage;H;Djamolidine Abduzhaparov;UZB
15;1996;176;Plain stage;F;Massimo Podenzana;ITA
16;1996;199;Stage with mountain(s);M;Bjarne Riis;DEN
17;1996;262;Stage with mountain(s);M;Laurent Dufaux;SUI
18;1996;154.5;Hilly stage;H;Bart Voskamp;NED
19;1996;226.5;Plain stage;F;Frédéric Moncassin;FRA
20;1996;63.5;Individual time trial;ITT;Jan Ullrich;GER
