Stage;Date;Winner;Winner_Country
1;2019;Mike Teunissen;NED
2;2019;Team Jumbo-Visma;
3;2019;Julian Alaphilippe;FRA
4;2019;Elia Viviani;ITA
5;2019;Peter Sagan;SVK
6;2019;Dylan Teuns ;BEL
7;2019;Dylan Groenewegen ;NED
8;2019;Thomas De Gendt ;BEL
9;2019;Daryl Impey ;RSA
10;2019;Wout Van Aert ;BEL
11;2019;Caleb Ewan ;AUS
12;2019;Simon Yates ;GBR
13;2019;Julian Alaphilippe ;FRA
14;2019;Thibaut Pinot ;FRA
15;2019;Simon Yates ;GBR
16;2019;Caleb Ewan ;AUS
17;2019;Matteo Trentin ;ITA
18;2019;Nairo Quintana ;COL
19;2019;Egan Bernal ;COL
20;2019;Vincenzo Nibali ;ITA
21;2019;Caleb Ewan ;AUS
1;2018;Fernando Gaviria ;COL
2;2018;Peter Sagan ;SVK
3;2018;BMC Racing Team ;
4;2018;Fernando Gaviria ;COL
5;2018;Peter Sagan ;SVK
6;2018;Dan Martin ;IRL
7;2018;Dylan Groenewegen ;NED
8;2018;Dylan Groenewegen ;NED
9;2018;John Degenkolb ;GER
10;2018;Julian Alaphilippe ;FRA
11;2018;Geraint Thomas ;GBR
12;2018;Geraint Thomas ;GBR
13;2018;Peter Sagan ;SVK
14;2018;Omar Fraile ;ESP
15;2018;Magnus Cort ;DEN
16;2018;Julian Alaphilippe ;FRA
17;2018;Nairo Quintana ;COL
18;2018;Arnaud Démare ;FRA
19;2018;Primož Rogli? ;SLO
20;2018;Tom Dumoulin ;NED
21;2018;Alexander Kristoff ;NOR
1;2017;Geraint Thomas;GBR
2;2017;Marcel Kittel;GER
3;2017;Peter Sagan;SVK
4;2017;Arnaud Démare;FRA
5;2017;Fabio Aru;ITA
6;2017;Marcel Kittel;GER
7;2017;Marcel Kittel;GER
8;2017;Lilian Calmejane;FRA
9;2017;Rigoberto Urán;COL
10;2017;Marcel Kittel;GER
11;2017;Marcel Kittel;GER
12;2017;Romain Bardet;FRA
13;2017;Warren Barguil;FRA
14;2017;Michael Matthews;AUS
15;2017;Bauke Mollema;NED
16;2017;Michael Matthews;AUS
17;2017;Primož Rogli?;SLO
18;2017;Warren Barguil;FRA
19;2017;Edvald Boasson Hagen;NOR
20;2017;Maciej Bodnar;POL
21;2017;Dylan Groenewegen;NED
1;2016;Mark Cavendish;GBR
2;2016;Peter Sagan;SVK
3;2016;Mark Cavendish;GBR
4;2016;Marcel Kittel;GER
5;2016;Greg Van Avermaet;BEL
6;2016;Mark Cavendish;GBR
7;2016;Steve Cummings;GBR
8;2016;Chris Froome;GBR
9;2016;Tom Dumoulin;NED
10;2016;Michael Matthews;AUS
11;2016;Peter Sagan;SVK
12;2016;Thomas De Gendt;BEL
13;2016;Tom Dumoulin;NED
14;2016;Mark Cavendish;GBR
15;2016;Jarlinson Pantano;COL
16;2016;Peter Sagan;SVK
17;2016;Ilnur Zakarin;RUS
18;2016;Chris Froome;GBR
19;2016;Romain Bardet;FRA
20;2016;Ion Izagirre;ESP
21;2016;André Greipel;GER
1;2015;Rohan Dennis;AUS
2;2015;André Greipel;GER
3;2015;Joaquim Rodríguez;ESP
4;2015;Tony Martin;GER
5;2015;André Greipel;GER
6;2015;Zden?k Štybar;CZE
7;2015;Mark Cavendish;GBR
8;2015;Alexis Vuillermoz;FRA
9;2015;BMC Racing Team;
10;2015;Chris Froome;GBR
11;2015;Rafa? Majka;POL
12;2015;Joaquim Rodríguez;ESP
13;2015;Greg Van Avermaet;BEL
14;2015;Steve Cummings;GBR
15;2015;André Greipel;GER
16;2015;Rubén Plaza Molina;ESP
17;2015;Simon Geschke;GER
18;2015;Romain Bardet;FRA
19;2015;Vincenzo Nibali;ITA
20;2015;Thibaut Pinot;FRA
21;2015;André Greipel;GER
1;2014;Marcel Kittel;GER
2;2014;Vincenzo Nibali;ITA
3;2014;Marcel Kittel;GER
4;2014;Marcel Kittel;GER
5;2014;Lars Boom;NED
6;2014;André Greipel;GER
7;2014;Matteo Trentin;ITA
8;2014;Blel Kadri;FRA
9;2014;Tony Martin;GER
10;2014;Vincenzo Nibali;ITA
11;2014;Tony Gallopin;FRA
12;2014;Alexander Kristoff;NOR
13;2014;Vincenzo Nibali;ITA
14;2014;Rafa? Majka;POL
15;2014;Alexander Kristoff;NOR
16;2014;Michael Rogers;AUS
17;2014;Rafa? Majka;POL
18;2014;Vincenzo Nibali;ITA
19;2014;Ram?nas Navardauskas;LTU
20;2014;Tony Martin;GER
21;2014;Marcel Kittel;GER
1;2013;Marcel Kittel;GER
2;2013;Jan Bakelants;BEL
3;2013;Simon Gerrans;AUS
4;2013;Orica–GreenEDGE;
5;2013;Mark Cavendish;GBR
6;2013;André Greipel;GER
7;2013;Peter Sagan;SVK
8;2013;Chris Froome;GBR
9;2013;Dan Martin;IRL
10;2013;Marcel Kittel;GER
11;2013;Tony Martin;GER
12;2013;Marcel Kittel;GER
13;2013;Mark Cavendish;GBR
14;2013;Matteo Trentin;ITA
15;2013;Chris Froome;GBR
16;2013;Rui Costa;POR
17;2013;Chris Froome;GBR
18;2013;Christophe Riblon;FRA
19;2013;Rui Costa;POR
20;2013;Nairo Quintana;COL
21;2013;Marcel Kittel;GER
P;2012;Fabian Cancellara;SUI
1;2012;Peter Sagan;SVK
2;2012;Mark Cavendish;GBR
3;2012;Peter Sagan;SVK
4;2012;André Greipel;GER
5;2012;André Greipel;GER
6;2012;Peter Sagan;SVK
7;2012;Chris Froome;GBR
8;2012;Thibaut Pinot;FRA
9;2012;Bradley Wiggins;GBR
10;2012;Thomas Voeckler;FRA
11;2012;Pierre Rolland;FRA
12;2012;David Millar;GBR
13;2012;André Greipel;GER
14;2012;Luis León Sánchez;ESP
15;2012;Pierrick Fédrigo;FRA
16;2012;Thomas Voeckler;FRA
17;2012;Alejandro Valverde;ESP
18;2012;Mark Cavendish;GBR
19;2012;Bradley Wiggins;GBR
20;2012;Mark Cavendish;GBR
1;2011;Philippe Gilbert;BEL
2;2011;Garmin–Cervélo;
3;2011;Tyler Farrar;USA
4;2011;Cadel Evans;AUS
5;2011;Mark Cavendish;GBR
6;2011;Edvald Boasson Hagen;NOR
7;2011;Mark Cavendish;GBR
8;2011;Rui Costa;POR
9;2011;Luis León Sánchez;ESP
10;2011;André Greipel;GER
11;2011;Mark Cavendish;GBR
12;2011;Samuel Sánchez;ESP
13;2011;Thor Hushovd;NOR
14;2011;Jelle Vanendert;BEL
15;2011;Mark Cavendish;GBR
16;2011;Thor Hushovd;NOR
17;2011;Edvald Boasson Hagen;NOR
18;2011;Andy Schleck;LUX
19;2011;Pierre Rolland;FRA
20;2011;Tony Martin;GER
21;2011;Mark Cavendish;GBR
P;2010;Fabian Cancellara;SUI
1;2010;Alessandro Petacchi;ITA
2;2010;Sylvain Chavanel;FRA
3;2010;Thor Hushovd;NOR
4;2010;Alessandro Petacchi;ITA
5;2010;Mark Cavendish;GBR
6;2010;Mark Cavendish;GBR
7;2010;Sylvain Chavanel;FRA
8;2010;Andy Schleck;LUX
9;2010;Sandy Casar;FRA
10;2010;Sérgio Paulinho;POR
11;2010;Mark Cavendish;GBR
12;2010;Joaquim Rodríguez;ESP
13;2010;Alexander Vinokourov;KAZ
14;2010;Christophe Riblon;FRA
15;2010;Thomas Voeckler;FRA
16;2010;Pierrick Fédrigo;FRA
17;2010;Andy Schleck;LUX
18;2010;Mark Cavendish;GBR
19;2010;Fabian Cancellara;SUI
20;2010;Mark Cavendish;GBR
1;2009;Fabian Cancellara;SUI
2;2009;Mark Cavendish;GBR
3;2009;Mark Cavendish;GBR
4;2009;Astana;
5;2009;Thomas Voeckler;FRA
6;2009;Thor Hushovd;NOR
7;2009;Brice Feillu;FRA
8;2009;Luis León Sánchez;ESP
9;2009;Pierrick Fédrigo;FRA
10;2009;Mark Cavendish;GBR
11;2009;Mark Cavendish;GBR
12;2009;Nicki Sørensen;DEN
13;2009;Heinrich Haussler;GER
14;2009;Sergei Ivanov;RUS
15;2009;Alberto Contador;ESP
16;2009;Sandy Casar;FRA
17;2009;Fränk Schleck;LUX
18;2009;Alberto Contador;ESP
19;2009;Mark Cavendish;GBR
20;2009;Juan Manuel Gárate;ESP
21;2009;Mark Cavendish;GBR
1;2008;Alejandro Valverde;ESP
2;2008;Thor Hushovd;NOR
3;2008;Samuel Dumoulin;FRA
4;2008;Kim Kirchen;LUX
5;2008;Mark Cavendish;GBR
6;2008;Alejandro Valverde;ESP
7;2008;Luis León Sánchez;ESP
8;2008;Mark Cavendish;GBR
9;2008;Vladimir Efimkin;RUS
10;2008;Juan José Cobo;ESP
11;2008;Kurt Asle Arvesen;NOR
12;2008;Mark Cavendish;GBR
13;2008;Mark Cavendish;GBR
14;2008;Óscar Freire;ESP
15;2008;Simon Gerrans;AUS
16;2008;Cyril Dessel;FRA
17;2008;Carlos Sastre;ESP
18;2008;Marcus Burghardt;GER
19;2008;Sylvain Chavanel;FRA
20;2008;Fabian Cancellara;SUI
21;2008;Gert Steegmans;BEL
P;2007;Fabian Cancellara;SUI
1;2007;Robbie McEwen;AUS
2;2007;Gert Steegmans;BEL
3;2007;Fabian Cancellara;SUI
4;2007;Thor Hushovd;NOR
5;2007;Filippo Pozzato;ITA
6;2007;Tom Boonen;BEL
7;2007;Linus Gerdemann;GER
8;2007;Michael Rasmussen;DEN
9;2007;Mauricio Soler;COL
10;2007;Cédric Vasseur;FRA
11;2007;Robert Hunter;RSA
12;2007;Tom Boonen;BEL
13;2007;Cadel Evans[n 1];AUS
14;2007;Alberto Contador;ESP
15;2007;Kim Kirchen[n 1];LUX
16;2007;Michael Rasmussen;DEN
17;2007;Daniele Bennati;ITA
18;2007;Sandy Casar;FRA
19;2007;Levi Leipheimer;USA
20;2007;Daniele Bennati;ITA
P;2006;Thor Hushovd;NOR
1;2006;Jimmy Casper;FRA
2;2006;Robbie McEwen;AUS
3;2006;Matthias Kessler;GER
4;2006;Robbie McEwen;AUS
5;2006;Óscar Freire;ESP
6;2006;Robbie McEwen;AUS
7;2006;Serhiy Honchar;UKR
8;2006;Sylvain Calzati;FRA
9;2006;Óscar Freire;ESP
10;2006;Juan Miguel Mercado;ESP
11;2006;Denis Menchov;RUS
12;2006;Yaroslav Popovych;UKR
13;2006;Jens Voigt;GER
14;2006;Pierrick Fédrigo;FRA
15;2006;Fränk Schleck;LUX
16;2006;Michael Rasmussen;DEN
17;2006;Carlos Sastre;ESP
18;2006;Matteo Tosatto;ITA
19;2006;Serhiy Honchar;UKR
20;2006;Thor Hushovd;NOR
1;2005;David Zabriskie;USA
2;2005;Tom Boonen;BEL
3;2005;Tom Boonen;BEL
4;2005;Discovery Channel;
5;2005;Robbie McEwen;AUS
6;2005;Lorenzo Bernucci;ITA
7;2005;Robbie McEwen;AUS
8;2005;Pieter Weening;NED
9;2005;Michael Rasmussen;DEN
10;2005;Alejandro Valverde;ESP
11;2005;Alexander Vinokourov;KAZ
12;2005;David Moncoutié;FRA
13;2005;Robbie McEwen;AUS
14;2005;Georg Totschnig;AUT
15;2005;George Hincapie;USA
16;2005;Óscar Pereiro;ESP
17;2005;Paolo Savoldelli;ITA
18;2005;Marcos Antonio Serrano;ESP
19;2005;Giuseppe Guerini;ITA
20;2005;Lance Armstrong[n 1];USA
21;2005;Alexander Vinokourov;KAZ
P;2004;Fabian Cancellara;SUI
1;2004;Jaan Kirsipuu;EST
2;2004;Robbie McEwen;AUS
3;2004;Jean-Patrick Nazon;FRA
4;2004;U.S. Postal Service;USA
5;2004;Stuart O'Grady;AUS
6;2004;Tom Boonen;BEL
7;2004;Filippo Pozzato;ITA
8;2004;Thor Hushovd;NOR
9;2004;Robbie McEwen;AUS
10;2004;Richard Virenque;FRA
11;2004;David Moncoutié;FRA
12;2004;Ivan Basso;ITA
13;2004;Lance Armstrong[n 1];USA
14;2004;Aitor González;ESP
15;2004;Lance Armstrong[n 1];USA
16;2004;Lance Armstrong[n 1];USA
17;2004;Lance Armstrong[n 1];USA
18;2004;Juan Miguel Mercado;ESP
19;2004;Lance Armstrong[n 1];USA
20;2004;Tom Boonen;BEL
P;2003;Bradley McGee;AUS
1;2003;Alessandro Petacchi;ITA
2;2003;Baden Cooke;AUS
3;2003;Alessandro Petacchi;ITA
4;2003;U.S. Postal Service;USA
5;2003;Alessandro Petacchi;ITA
6;2003;Alessandro Petacchi;ITA
7;2003;Richard Virenque;FRA
8;2003;Iban Mayo;ESP
9;2003;Alexander Vinokourov;KAZ
10;2003;Jakob Piil;DEN
11;2003;Juan Antonio Flecha;ESP
12;2003;Jan Ullrich;GER
13;2003;Carlos Sastre;ESP
14;2003;Gilberto Simoni;ITA
15;2003;Lance Armstrong[n 1];USA
16;2003;Tyler Hamilton;USA
17;2003;Servais Knaven;NED
18;2003;Pablo Lastras;ESP
19;2003;David Millar;GBR
20;2003;Jean-Patrick Nazon;FRA
P;2002;Lance Armstrong[n 1];USA
1;2002;Rubens Bertogliati;SUI
2;2002;Óscar Freire;ESP
3;2002;Robbie McEwen;AUS
4;2002;ONCE–Eroski;
5;2002;Jaan Kirsipuu;EST
6;2002;Erik Zabel;GER
7;2002;Bradley McGee;AUS
8;2002;Karsten Kroon;NED
9;2002;Santiago Botero;COL
10;2002;Patrice Halgand;FRA
11;2002;Lance Armstrong[n 1];USA
12;2002;Lance Armstrong[n 1];USA
13;2002;David Millar;GBR
14;2002;Richard Virenque;FRA
15;2002;Santiago Botero;COL
16;2002;Michael Boogerd;NED
17;2002;Dario Frigo;ITA
18;2002;Thor Hushovd;NOR
19;2002;Lance Armstrong[n 1];USA
20;2002;Robbie McEwen;AUS
P;2001;Christophe Moreau;FRA
1;2001;Erik Zabel;GER
2;2001;Marc Wauters;BEL
3;2001;Erik Zabel;GER
4;2001;Laurent Jalabert;FRA
5;2001;Crédit Agricole;
6;2001;Jaan Kirsipuu;EST
7;2001;Laurent Jalabert;FRA
8;2001;Erik Dekker;NED
9;2001;Serguei Ivanov;RUS
10;2001;Lance Armstrong[n 1];USA
11;2001;Lance Armstrong[n 1];USA
12;2001;Félix Cárdenas;COL
13;2001;Lance Armstrong[n 1];USA
14;2001;Roberto Laiseka;ESP
15;2001;Rik Verbrugghe;BEL
16;2001;Jens Voigt;GER
17;2001;Serge Baguet;BEL
18;2001;Lance Armstrong[n 1];USA
19;2001;Erik Zabel;GER
20;2001;Ján Svorada;CZE
1;2000;David Millar;GBR
2;2000;Tom Steels;BEL
3;2000;Tom Steels;BEL
4;2000;ONCE–Deutsche Bank;
5;2000;Marcel Wüst;GER
6;2000;Leon van Bon;NED
7;2000;Christophe Agnolutto;FRA
8;2000;Erik Dekker;NED
9;2000;Paolo Bettini;ITA
10;2000;Javier Otxoa;ESP
11;2000;Erik Dekker;NED
12;2000;Marco Pantani;ITA
13;2000;José Vicente Garcia;ESP
14;2000;Santiago Botero;COL
15;2000;Marco Pantani;ITA
16;2000;Richard Virenque;FRA
17;2000;Erik Dekker;NED
18;2000;Salvatore Commesso;ITA
19;2000;Lance Armstrong[n 1];USA
20;2000;Erik Zabel;GER
21;2000;Stefano Zanini;ITA
P;1999;Lance Armstrong[n 1];USA
1;1999;Jaan Kirsipuu;EST
2;1999;Tom Steels;BEL
3;1999;Tom Steels;BEL
4;1999;Mario Cipollini;ITA
5;1999;Mario Cipollini;ITA
6;1999;Mario Cipollini;ITA
7;1999;Mario Cipollini;ITA
8;1999;Lance Armstrong[n 1];USA
9;1999;Lance Armstrong[n 1];USA
10;1999;Giuseppe Guerini;ITA
11;1999;Ludo Dierckxsens;BEL
12;1999;David Etxebarria;ESP
13;1999;Salvatore Commesso;ITA
14;1999;Dmitri Konychev;RUS
15;1999;Fernando Escartín;ESP
16;1999;David Etxebarria;ESP
17;1999;Tom Steels;BEL
18;1999;Giampaolo Mondini;ITA
19;1999;Lance Armstrong[n 1];USA
20;1999;Robbie McEwen;AUS
P;1998;Chris Boardman;GBR
1;1998;Tom Steels;BEL
2;1998;Ján Svorada;CZE
3;1998;Jens Heppner;GER
4;1998;Jeroen Blijlevens;NED
5;1998;Mario Cipollini;ITA
6;1998;Mario Cipollini;ITA
7;1998;Jan Ullrich;GER
8;1998;Jacky Durand;FRA
9;1998;Leon van Bon;NED
10;1998;Rodolfo Massi;ITA
11;1998;Marco Pantani;ITA
12;1998;Tom Steels;BEL
13;1998;Daniele Nardello;ITA
14;1998;Stuart O'Grady;AUS
15;1998;Marco Pantani;ITA
16;1998;Jan Ullrich;GER
17;1998;—;
18;1998;Tom Steels;BEL
19;1998;Magnus Bäckstedt;SWE
20;1998;Jan Ullrich;GER
21;1998;Tom Steels;BEL
P;1997;Chris Boardman;GBR
1;1997;Mario Cipollini;ITA
2;1997;Mario Cipollini;ITA
3;1997;Erik Zabel;GER
4;1997;Nicola Minali;ITA
5;1997;Cédric Vasseur;FRA
6;1997;Jeroen Blijlevens;NED
7;1997;Erik Zabel;GER
8;1997;Erik Zabel;GER
9;1997;Laurent Brochard;FRA
10;1997;Jan Ullrich;GER
11;1997;Laurent Desbiens;FRA
12;1997;Jan Ullrich;GER
13;1997;Marco Pantani;ITA
14;1997;Richard Virenque;FRA
15;1997;Marco Pantani;ITA
16;1997;Christophe Mengin;FRA
17;1997;Neil Stephens;AUS
18;1997;Didier Rous;FRA
19;1997;Mario Traversoni;ITA
20;1997;Abraham Olano;ESP
21;1997;Nicola Minali;ITA
P;1996;Alex Zülle;SUI
1;1996;Frédéric Moncassin;FRA
2;1996;Mario Cipollini;ITA
3;1996;Erik Zabel;GER
4;1996;Cyril Saugrain;FRA
5;1996;Jeroen Blijlevens;NED
6;1996;Michael Boogerd;NED
7;1996;Luc Leblanc;FRA
8;1996;Evgueni Berzin;RUS
9;1996;Bjarne Riis;DEN
10;1996;Erik Zabel;GER
11;1996;José Jaime Gonzalez;COL
12;1996;Pascal Richard;SUI
13;1996;Rolf Sørensen;DEN
14;1996;Djamolidine Abduzhaparov;UZB
15;1996;Massimo Podenzana;ITA
16;1996;Bjarne Riis;DEN
17;1996;Laurent Dufaux;SUI
18;1996;Bart Voskamp;NED
19;1996;Frédéric Moncassin;FRA
20;1996;Jan Ullrich;GER
21;1996;Fabio Baldato;ITA
P;1995;Jacky Durand;FRA
1;1995;Fabio Baldato;ITA
2;1995;Mario Cipollini;ITA
3;1995;Gewiss–Ballan;
4;1995;Mario Cipollini;ITA
5;1995;Jeroen Blijlevens;NED
6;1995;Erik Zabel;GER
7;1995;Johan Bruyneel;BEL
8;1995;Miguel Indurain;ESP
9;1995;Alex Zülle;SUI
10;1995;Marco Pantani;ITA
11;1995;Maximilian Sciandri;GBR
12;1995;Laurent Jalabert;FRA
13;1995;Serhiy Utchakov;UKR
14;1995;Marco Pantani;ITA
15;1995;Richard Virenque;FRA
16;1995;Cancelled;
17;1995;Erik Zabel;GER
18;1995;Lance Armstrong;USA
19;1995;Miguel Indurain;ESP
20;1995;Djamolidine Abdoujaparov;UZB
P;1994;Chris Boardman;GBR
1;1994;Djamolidine Abdoujaparov;UZB
2;1994;Jean-Paul van Poppel;NED
3;1994;GB–MG Maglificio;
4;1994;Francisco Cabello;ESP
5;1994;Nicola Minali;ITA
6;1994;Gianluca Bortolami;ITA
7;1994;Ján Svorada;SVK
8;1994;Bo Hamburger;DEN
9;1994;Miguel Indurain;ESP
10;1994;Jacky Durand;FRA
11;1994;Luc Leblanc;FRA
12;1994;Richard Virenque;FRA
13;1994;Bjarne Riis;DEN
14;1994;Rolf Sørensen;DEN
15;1994;Eros Poli;ITA
16;1994;Roberto Conti;ITA
17;1994;Nelson Rodriguez;COL
18;1994;Piotr Ugrumov;LAT
19;1994;Piotr Ugrumov;LAT
20;1994;Djamolidine Abdoujaparov;UZB
21;1994;Eddy Seigneur;FRA
P;1993;Miguel Indurain;ESP
1;1993;Mario Cipollini;ITA
2;1993;Wilfried Nelissen;BEL
3;1993;Djamolidine Abdoujaparov;UZB
4;1993;GB–MG Maglificio;
5;1993;Jesper Skibby;DEN
6;1993;Johan Bruyneel;BEL
7;1993;Bjarne Riis;DEN
8;1993;Lance Armstrong;USA
9;1993;Miguel Indurain;ESP
10;1993;Toni Rominger;SUI
11;1993;Toni Rominger;SUI
12;1993;Fabio Roscioli;ITA
13;1993;Olaf Ludwig;GER
14;1993;Pascal Lino;FRA
15;1993;Oliverio Rincón;COL
16;1993;Zenon Jasku?a;POL
17;1993;Claudio Chiappucci;ITA
18;1993;Djamolidine Abdoujaparov;UZB
19;1993;Toni Rominger;SUI
20;1993;Djamolidine Abdoujaparov;UZB
P;1992;Miguel Indurain;ESP
1;1992;Dominique Arnould;FRA
2;1992;Javier Murguialday;ESP
3;1992;Rob Harmeling;NED
4;1992;Panasonic–Sportlife;
5;1992;Guido Bontempi;ITA
6;1992;Laurent Jalabert;FRA
7;1992;Gilles Delion;FRA
8;1992;Jan Nevens;BEL
9;1992;Miguel Indurain;ESP
10;1992;Jean-Paul van Poppel;NED
11;1992;Laurent Fignon;FRA
12;1992;Rolf Järmann;SUI
13;1992;Claudio Chiappucci;ITA
14;1992;Andrew Hampsten;USA
15;1992;Franco Chioccioli;ITA
16;1992;Stephen Roche;IRE
17;1992;Jean-Claude Colotti;FRA
18;1992;Thierry Marie;FRA
19;1992;Miguel Indurain;ESP
20;1992;Peter De Clercq;BEL
21;1992;Olaf Ludwig;GER
P;1991;Thierry Marie;FRA
1;1991;Djamolidine Abdoujaparov;URS
2;1991;Ariostea;
3;1991;Etienne De Wilde;BEL
4;1991;Djamolidine Abdoujaparov;URS
5;1991;Jelle Nijdam;NED
6;1991;Thierry Marie;FRA
7;1991;Jean-Paul van Poppel;NED
8;1991;Miguel Indurain;ESP
9;1991;Mauro Ribeiro;BRA
10;1991;Phil Anderson;AUS
11;1991;Charly Mottet;FRA
12;1991;Charly Mottet;FRA
13;1991;Claudio Chiappucci;ITA
14;1991;Bruno Cenghialta;ITA
15;1991;Moreno Argentin;ITA
16;1991;Marco Lietti;ITA
17;1991;Gianni Bugno;ITA
18;1991;Thierry Claveyrolat;FRA
19;1991;Dmitri Konychev;URS
20;1991;Viatcheslav Ekimov;URS
21;1991;Miguel Indurain;ESP
22;1991;Dmitri Konychev;URS
P;1990;Thierry Marie;FRA
1;1990;Frans Maassen;NED
2;1990;Panasonic–Sportlife;
3;1990;Moreno Argentin;ITA
4;1990;Johan Museeuw;BEL
5;1990;Gerrit Solleveld;NED
6;1990;Jelle Nijdam;NED
7;1990;Raúl Alcalá;MEX
8;1990;Olaf Ludwig;GDR
9;1990;Massimo Ghirotto;ITA
10;1990;Thierry Claveyrolat;FRA
11;1990;Gianni Bugno;ITA
12;1990;Erik Breukink;NED
13;1990;Eduardo Chozas;ESP
14;1990;Marino Lejarreta;ESP
15;1990;Charly Mottet;FRA
16;1990;Miguel Indurain;ESP
17;1990;Dmitri Konychev;URS
18;1990;Gianni Bugno;ITA
19;1990;Guido Bontempi;ITA
20;1990;Erik Breukink;NED
21;1990;Johan Museeuw;BEL
P;1989;Erik Breukink;NED
1;1989;Acácio da Silva;POR
2;1989;Super U–Raleigh–Fiat;
3;1989;Raúl Alcalá;MEX
4;1989;Jelle Nijdam;NED
5;1989;Greg LeMond;USA
6;1989;Joël Pelier;FRA
7;1989;Etienne De Wilde;BEL
8;1989;Martin Earley;IRE
9;1989;Miguel Induráin;ESP
10;1989;Robert Millar;GBR
11;1989;Mathieu Hermans;NED
12;1989;Valerio Tebaldi;ITA
13;1989;Vincent Barteau;FRA
14;1989;Jelle Nijdam;NED
15;1989;Steven Rooks;NED
16;1989;Pascal Richard;SUI
17;1989;Gert-Jan Theunisse;NED
18;1989;Laurent Fignon;FRA
19;1989;Greg LeMond;USA
20;1989;Giovanni Fidanza;ITA
21;1989;Greg LeMond;USA
P;1988;Guido Bontempi;ITA
1;1988;Steve Bauer;CAN
2;1988;Panasonic–Isostar–Colnago–Agu;
3;1988;Jean-Paul van Poppel;NED
4;1988;Acácio da Silva;POR
5;1988;Jelle Nijdam;NED
6;1988;Sean Yates;GBR
7;1988;Valerio Tebaldi;ITA
8;1988;Rolf Gölz;GER
9;1988;Jérôme Simon;FRA
10;1988;Jean-Paul van Poppel;NED
11;1988;Fabio Parra;COL
12;1988;Steven Rooks;NED
13;1988;Pedro Delgado;ESP
14;1988;Massimo Ghirotto;ITA
15;1988;Laudelino Cubino;ESP
16;1988;Adrie van der Poel;NED
17;1988;Jean-Paul van Poppel;NED
18;1988;Gianni Bugno;ITA
19;1988;Johnny Weltz;DEN
20;1988;Thierry Marie;FRA
21;1988;Juan Martinéz;ESP
22;1988;Jean-Paul van Poppel;NED
P;1987;Jelle Nijdam;NED
1;1987;Nico Verhoeven;NED
2;1987;Carrera Jeans–Vagabond;
3;1987;Acácio da Silva;POR
4;1987;Herman Frison;BEL
5;1987;Marc Sergeant;BEL
6;1987;Christophe Lavainne;FRA
7;1987;Manuel Jorge Domínguez[8];ESP
8;1987;Jean-Paul van Poppel;NED
9;1987;Adrie van der Poel;NED
10;1987;Stephen Roche;IRE
11;1987;Martial Gayant;FRA
12;1987;Davis Phinney;USA
13;1987;Erik Breukink;NED
14;1987;Dag Otto Lauritzen;NOR
15;1987;Rolf Gölz;GER
16;1987;Régis Clère;FRA
17;1987;Jean-Paul van Poppel;NED
18;1987;Jean-François Bernard;FRA
19;1987;Pedro Delgado;ESP
20;1987;Federico Echave;ESP
21;1987;Laurent Fignon;FRA
22;1987;Eduardo Chozas;ESP
23;1987;Régis Clère;FRA
24;1987;Jean-François Bernard;FRA
25;1987;Jeff Pierce;USA
P;1986;Thierry Marie;FRA
1;1986;Pol Verschuere;BEL
2;1986;Système U;
3;1986;Davis Phinney;USA
4;1986;Pello Ruiz Cabestany;ESP
5;1986;Johan van der Velde;NED
6;1986;Guido Bontempi;ITA
7;1986;Ludo Peeters;BEL
8;1986;Eddy Planckaert;BEL
9;1986;Bernard Hinault;FRA
10;1986;Jose-Angel Sarrapio;ESP
11;1986;Rudy Dhaenens;BEL
12;1986;Pedro Delgado;ESP
13;1986;Greg LeMond;USA
14;1986;Niki Rüttimann;SUI
15;1986;Frank Hoste;BEL
16;1986;Jean-François Bernard;FRA
17;1986;Eduardo Chozas;ESP
18;1986;Bernard Hinault;FRA
19;1986;Julián Gorospe;ESP
20;1986;Bernard Hinault;FRA
21;1986;Erich Mächler;SUI
22;1986;Guido Bontempi;ITA
23;1986;Guido Bontempi;ITA
P;1985;Bernard Hinault;FRA
1;1985;Rudy Matthijs;BEL
2;1985;Rudy Matthijs;BEL
3;1985;La Vie Claire;
4;1985;Gerrit Solleveld;NED
5;1985;Henri Manders;NED
6;1985;Francis Castaing;FRA
7;1985;Ludwig Wijnants;BEL
8;1985;Bernard Hinault;FRA
9;1985;Maarten Ducrot;NED
10;1985;Jørgen V. Pedersen;DEN
11;1985;Luis Herrera;COL
12;1985;Fabio Parra;COL
13;1985;Eric Vanderaerden;BEL
14;1985;Luis Herrera;COL
15;1985;Eduardo Chozas;ESP
16;1985;Frédéric Vichot;FRA
17;1985;Pedro Delgado;ESP
18a;1985;Stephen Roche;IRE
18b;1985;Régis Simon;FRA
19;1985;Eric Vanderaerden;BEL
20;1985;Johan Lammerts;NED
21;1985;Greg LeMond;USA
22;1985;Rudy Matthijs;BEL
P;1984;Bernard Hinault;FRA
1;1984;Frank Hoste;BEL
2;1984;Marc Madiot;FRA
3;1984;Renault–Elf;
4;1984;Ferdi Van Den Haute;BEL
5;1984;Paulo Ferreira;POR
6;1984;Frank Hoste;BEL
7;1984;Laurent Fignon;FRA
8;1984;Pascal Jules;FRA
9;1984;Jan Raas;NED
10;1984;Eric Vanderaerden;BEL
11;1984;Robert Millar;GBR
12;1984;Pascal Poisson;FRA
13;1984;Pierre-Henri Menthéour;FRA
14;1984;Fons De Wolf;BEL
