Stage,Year,Distance,Type,Mark,Winner,Winner_Country,country_iso
1,2017,14,Individual time trial,ITT,Geraint Thomas,GBR,GB
2,2017,203.5,Flat stage,F,Marcel Kittel,GER,DE
3,2017,212.5,Medium mountain stage,H,Peter Sagan,SVK,SK
4,2017,207.5,Flat stage,F,Arnaud Démare,FRA,FR
5,2017,160.5,Medium mountain stage,H,Fabio Aru,ITA,IT
6,2017,216,Flat stage,F,Marcel Kittel,GER,DE
7,2017,213.5,Flat stage,F,Marcel Kittel,GER,DE
8,2017,187.5,Medium mountain stage,H,Lilian Calmejane,FRA,FR
9,2017,181.5,High mountain stage,M,Rigoberto Urán,COL,CO
10,2017,178,Flat stage,F,Marcel Kittel,GER,DE
11,2017,203.5,Flat stage,F,Marcel Kittel,GER,DE
12,2017,214.5,High mountain stage,M,Romain Bardet,FRA,FR
13,2017,101,High mountain stage,M,Warren Barguil,FRA,FR
14,2017,181.5,Medium mountain stage,H,Michael Matthews,AUS,AU
15,2017,189.5,Medium mountain stage,H,Bauke Mollema,NED,NL
16,2017,165,Medium mountain stage,H,Michael Matthews,AUS,AU
17,2017,183,High mountain stage,M,Primož Rogli?,SLO,SI
18,2017,179.5,High mountain stage,M,Warren Barguil,FRA,FR
19,2017,222.5,Flat stage,F,Edvald Boasson Hagen,NOR,NO
20,2017,22.5,Individual time trial,ITT,Maciej Bodnar,POL,PL
21,2017,103,Flat stage,F,Dylan Groenewegen,NED,NL
1,2016,188,Flat stage,F,Mark Cavendish,GBR,GB
2,2016,183,Flat stage,F,Peter Sagan,SVK,SK
3,2016,223.5,Flat stage,F,Mark Cavendish,GBR,GB
4,2016,237.5,Flat stage,F,Marcel Kittel,GER,DE
5,2016,216,Medium mountain stage,H,Greg Van Avermaet,BEL,BE
6,2016,190.5,Flat stage,F,Mark Cavendish,GBR,GB
7,2016,162.5,Medium mountain stage,H,Steve Cummings,GBR,GB
8,2016,184,High mountain stage,M,Chris Froome,GBR,GB
9,2016,184.5,High mountain stage,M,Tom Dumoulin,NED,NL
10,2016,197,Medium mountain stage,H,Michael Matthews,AUS,AU
11,2016,162.5,Flat stage,F,Peter Sagan,SVK,SK
12,2016,178,High mountain stage,M,Thomas De Gendt,BEL,BE
13,2016,37.5,Individual time trial,ITT,Tom Dumoulin,NED,NL
14,2016,208.5,Flat stage,F,Mark Cavendish,GBR,GB
15,2016,160,High mountain stage,M,Jarlinson Pantano,COL,CO
16,2016,209,Flat stage,F,Peter Sagan,SVK,SK
17,2016,184.5,High mountain stage,M,Ilnur Zakarin,RUS,RU
18,2016,17,Mountain time trial,MTT,Chris Froome,GBR,GB
19,2016,146,High mountain stage,M,Romain Bardet,FRA,FR
20,2016,146.5,High mountain stage,M,Ion Izagirre,ESP,ES
21,2016,113,Flat stage,F,André Greipel,GER,DE
1,2015,13.8,Individual time trial,ITT,Rohan Dennis,AUS,AU
2,2015,166,Flat stage,F,André Greipel,GER,DE
3,2015,159.5,Flat stage,F,Joaquim Rodríguez,ESP,ES
4,2015,223.5,Medium mountain stage,H,Tony Martin,GER,DE
5,2015,189.5,Flat stage,F,André Greipel,GER,DE
6,2015,191.5,Flat stage,F,Zden?k Štybar,CZE,CZ
7,2015,190.5,Flat stage,F,Mark Cavendish,GBR,GB
8,2015,181.5,Flat stage,F,Alexis Vuillermoz,FRA,FR
9,2015,28,Team time trial,TTT,BMC Racing Team,,
10,2015,167,High mountain stage,M,Chris Froome,GBR,GB
11,2015,188,High mountain stage,M,Rafa? Majka,POL,PL
12,2015,195,High mountain stage,M,Joaquim Rodríguez,ESP,ES
13,2015,198.5,Medium mountain stage,H,Greg Van Avermaet,BEL,BE
14,2015,178.5,Medium mountain stage,H,Steve Cummings,GBR,GB
15,2015,183,Medium mountain stage,H,André Greipel,GER,DE
16,2015,201,Medium mountain stage,H,Rubén Plaza Molina,ESP,ES
17,2015,161,High mountain stage,M,Simon Geschke,GER,DE
18,2015,186.5,High mountain stage,M,Romain Bardet,FRA,FR
19,2015,138,High mountain stage,M,Vincenzo Nibali,ITA,IT
20,2015,110.5,High mountain stage,M,Thibaut Pinot,FRA,FR
21,2015,109.5,Flat stage,F,André Greipel,GER,DE
1,2014,190.5,Flat stage,F,Marcel Kittel,GER,DE
2,2014,201,Medium mountain stage,H,Vincenzo Nibali,ITA,IT
3,2014,155,Flat stage,F,Marcel Kittel,GER,DE
4,2014,163.5,Flat stage,F,Marcel Kittel,GER,DE
5,2014,152.5,Medium mountain stage,H,Lars Boom,NED,NL
6,2014,194,Flat stage,F,André Greipel,GER,DE
7,2014,234.5,Flat stage,F,Matteo Trentin,ITA,IT
8,2014,161,Medium mountain stage,H,Blel Kadri,FRA,FR
9,2014,170,Medium mountain stage,H,Tony Martin,GER,DE
10,2014,161.5,High mountain stage,M,Vincenzo Nibali,ITA,IT
11,2014,187.5,Medium mountain stage,H,Tony Gallopin,FRA,FR
12,2014,185.5,Flat stage,F,Alexander Kristoff,NOR,NO
13,2014,197.5,High mountain stage,M,Vincenzo Nibali,ITA,IT
14,2014,177,High mountain stage,M,Rafa? Majka,POL,PL
15,2014,222,Flat stage,F,Alexander Kristoff,NOR,NO
16,2014,237.5,High mountain stage,M,Michael Rogers,AUS,AU
17,2014,124.5,High mountain stage,M,Rafa? Majka,POL,PL
18,2014,145.5,High mountain stage,M,Vincenzo Nibali,ITA,IT
19,2014,208.5,Flat stage,F,Ram?nas Navardauskas,LTU,LT
20,2014,54,Individual time trial,ITT,Tony Martin,GER,DE
21,2014,137.5,Flat stage,F,Marcel Kittel,GER,DE
1,2013,213,Flat stage,F,Marcel Kittel,GER,DE
2,2013,156,Medium mountain stage,H,Jan Bakelants,BEL,BE
3,2013,145.5,Medium mountain stage,H,Simon Gerrans,AUS,AU
4,2013,25,Team time trial,TTT,Orica–GreenEDGE,,
5,2013,228.5,Flat stage,F,Mark Cavendish,GBR,GB
6,2013,176.5,Flat stage,F,André Greipel,GER,DE
7,2013,205.5,Flat stage,F,Peter Sagan,SVK,SK
8,2013,195,High mountain stage,M,Chris Froome,GBR,GB
9,2013,168.5,High mountain stage,M,Dan Martin,IRL,IE
10,2013,197,Flat stage,F,Marcel Kittel,GER,DE
11,2013,33,Individual time trial,ITT,Tony Martin,GER,DE
12,2013,218,Flat stage,F,Marcel Kittel,GER,DE
13,2013,173,Flat stage,F,Mark Cavendish,GBR,GB
14,2013,191,Medium mountain stage,H,Matteo Trentin,ITA,IT
15,2013,242.5,High mountain stage,M,Chris Froome,GBR,GB
16,2013,168,High mountain stage,M,Rui Costa,POR,PT
17,2013,32,Individual time trial,ITT,Chris Froome,GBR,GB
18,2013,172.5,High mountain stage,M,Christophe Riblon,FRA,FR
19,2013,204.5,High mountain stage,M,Rui Costa,POR,PT
20,2013,125,High mountain stage,M,Nairo Quintana,COL,CO
21,2013,133.5,Flat stage,F,Marcel Kittel,GER,DE
P,2012,6.4,Individual time trial,ITT,Fabian Cancellara,SUI,CH
1,2012,198,Flat stage,F,Peter Sagan,SVK,SK
2,2012,207.5,Flat stage,F,Mark Cavendish,GBR,GB
3,2012,197,Medium mountain stage,H,Peter Sagan,SVK,SK
4,2012,214.5,Flat stage,F,André Greipel,GER,DE
5,2012,196.5,Flat stage,F,André Greipel,GER,DE
6,2012,207.5,Flat stage,F,Peter Sagan,SVK,SK
7,2012,199,Medium mountain stage,H,Chris Froome,GBR,GB
8,2012,157.5,Medium mountain stage,H,Thibaut Pinot,FRA,FR
9,2012,41.5,Individual time trial,ITT,Bradley Wiggins,GBR,GB
10,2012,194.5,High mountain stage,M,Thomas Voeckler,FRA,FR
11,2012,148,High mountain stage,M,Pierre Rolland,FRA,FR
12,2012,226,Medium mountain stage,H,David Millar,GBR,GB
13,2012,217,Flat stage,F,André Greipel,GER,DE
14,2012,191,High mountain stage,M,Luis León Sánchez,ESP,ES
15,2012,158.5,Flat stage,F,Pierrick Fédrigo,FRA,FR
16,2012,197,High mountain stage,M,Thomas Voeckler,FRA,FR
17,2012,143.5,High mountain stage,M,Alejandro Valverde,ESP,ES
18,2012,222.5,Flat stage,F,Mark Cavendish,GBR,GB
19,2012,53.5,Individual time trial,ITT,Bradley Wiggins,GBR,GB
20,2012,120,Flat stage,F,Mark Cavendish,GBR,GB
1,2011,191.5,Flat stage,F,Philippe Gilbert,BEL,BE
2,2011,23,Team time trial,TTT,Garmin–Cervélo,,
3,2011,198,Flat stage,F,Tyler Farrar,USA,US
4,2011,172.5,Flat stage,F,Cadel Evans,AUS,AU
5,2011,164.5,Flat stage,F,Mark Cavendish,GBR,GB
6,2011,226.5,Flat stage,F,Edvald Boasson Hagen,NOR,NO
7,2011,218,Flat stage,F,Mark Cavendish,GBR,GB
8,2011,189,Medium mountain stage,H,Rui Costa,POR,PT
9,2011,208,Medium mountain stage,H,Luis León Sánchez,ESP,ES
10,2011,158,Flat stage,F,André Greipel,GER,DE
11,2011,167.5,Flat stage,F,Mark Cavendish,GBR,GB
12,2011,211,High mountain stage,M,Samuel Sánchez,ESP,ES
13,2011,152.5,High mountain stage,M,Thor Hushovd,NOR,NO
14,2011,168.5,High mountain stage,M,Jelle Vanendert,BEL,BE
15,2011,192.5,Flat stage,F,Mark Cavendish,GBR,GB
16,2011,162.5,Medium mountain stage,H,Thor Hushovd,NOR,NO
17,2011,179,High mountain stage,M,Edvald Boasson Hagen,NOR,NO
18,2011,200.5,High mountain stage,M,Andy Schleck,LUX,LU
19,2011,109.5,High mountain stage,M,Pierre Rolland,FRA,FR
20,2011,42.5,Individual time trial,ITT,Tony Martin,GER,DE
21,2011,95,Flat stage,F,Mark Cavendish,GBR,GB
P,2010,8.9,Individual time trial,ITT,Fabian Cancellara,SUI,CH
1,2010,223.5,Flat stage,F,Alessandro Petacchi,ITA,IT
2,2010,201,Flat stage,F,Sylvain Chavanel,FRA,FR
3,2010,213,Flat cobblestone stage,FC,Thor Hushovd,NOR,NO
4,2010,153.5,Flat stage,F,Alessandro Petacchi,ITA,IT
5,2010,187.5,Flat stage,F,Mark Cavendish,GBR,GB
6,2010,227.5,Flat stage,F,Mark Cavendish,GBR,GB
7,2010,165.5,Medium mountain stage,H,Sylvain Chavanel,FRA,FR
8,2010,189,Mountain stage,M,Andy Schleck,LUX,LU
9,2010,204.5,Mountain stage,M,Sandy Casar,FRA,FR
10,2010,179,Medium mountain stage,H,Sérgio Paulinho,POR,PT
11,2010,184.5,Flat stage,F,Mark Cavendish,GBR,GB
12,2010,210.5,Medium mountain stage,H,Joaquim Rodríguez,ESP,ES
13,2010,196,Flat stage,F,Alexander Vinokourov,KAZ,KZ
14,2010,184.5,Mountain stage,M,Christophe Riblon,FRA,FR
15,2010,187.5,Mountain stage,M,Thomas Voeckler,FRA,FR
16,2010,199.5,Mountain stage,M,Pierrick Fédrigo,FRA,FR
17,2010,174,Mountain stage,M,Andy Schleck,LUX,LU
18,2010,198,Flat stage,F,Mark Cavendish,GBR,GB
19,2010,52,Individual time trial,ITT,Fabian Cancellara,SUI,CH
20,2010,102.5,Flat stage,F,Mark Cavendish,GBR,GB
1,2009,15.5,Individual time trial,ITT,Fabian Cancellara,SUI,CH
2,2009,187,Flat stage,F,Mark Cavendish,GBR,GB
3,2009,196.5,Flat stage,F,Mark Cavendish,GBR,GB
4,2009,39,Team time trial,TTT,Astana,,
5,2009,196.5,Flat stage,F,Thomas Voeckler,FRA,FR
6,2009,181.5,Flat stage,F,Thor Hushovd,NOR,NO
7,2009,224,Mountain stage,M,Brice Feillu,FRA,FR
8,2009,176.5,Mountain stage,M,Luis León Sánchez,ESP,ES
9,2009,160.5,Mountain stage,M,Pierrick Fédrigo,FRA,FR
10,2009,194.5,Flat stage,F,Mark Cavendish,GBR,GB
11,2009,192,Flat stage,F,Mark Cavendish,GBR,GB
12,2009,211.5,Flat stage,F,Nicki Sørensen,DEN,DK
13,2009,200,Medium mountain stage,H,Heinrich Haussler,GER,DE
14,2009,199,Flat stage,F,Sergei Ivanov,RUS,RU
15,2009,207.5,Mountain Stage,M,Alberto Contador,ESP,ES
16,2009,159,Mountain Stage,M,Sandy Casar,FRA,FR
17,2009,169.5,Mountain Stage,M,Fränk Schleck,LUX,LU
18,2009,40.5,Individual time trial,ITT,Alberto Contador,ESP,ES
19,2009,178,Flat stage,F,Mark Cavendish,GBR,GB
20,2009,167,Mountain stage,M,Juan Manuel Gárate,ESP,ES
21,2009,164,Flat stage,F,Mark Cavendish,GBR,GB
1,2008,197.5,Flat stage,F,Alejandro Valverde,ESP,ES
2,2008,164.5,Flat stage,F,Thor Hushovd,NOR,NO
3,2008,208,Flat stage,F,Samuel Dumoulin,FRA,FR
4,2008,29.5,Individual time trial,ITT,Kim Kirchen,LUX,LU
5,2008,232,Flat stage,F,Mark Cavendish,GBR,GB
6,2008,195.5,Transition stage,Transition stage,Alejandro Valverde,ESP,ES
7,2008,159,Transition stage,Transition stage,Luis León Sánchez,ESP,ES
8,2008,172.5,Flat stage,F,Mark Cavendish,GBR,GB
9,2008,224,Mountain stage,M,Vladimir Efimkin,RUS,RU
10,2008,156,Mountain stage,M,Juan José Cobo,ESP,ES
11,2008,167.5,Transition stage,Transition stage,Kurt Asle Arvesen,NOR,NO
12,2008,168.5,Flat stage,F,Mark Cavendish,GBR,GB
13,2008,182,Flat stage,F,Mark Cavendish,GBR,GB
14,2008,194.5,Flat stage,F,Óscar Freire,ESP,ES
15,2008,183,Mountain stage,M,Simon Gerrans,AUS,AU
16,2008,157,Mountain stage,M,Cyril Dessel,FRA,FR
17,2008,210.5,Mountain stage,M,Carlos Sastre,ESP,ES
18,2008,196.5,Transition stage,Transition stage,Marcus Burghardt,GER,DE
19,2008,165.5,Flat stage,F,Sylvain Chavanel,FRA,FR
20,2008,53,Individual time trial,ITT,Fabian Cancellara,SUI,CH
21,2008,143,Flat stage,F,Gert Steegmans,BEL,BE
P,2007,7.9,Individual time trial,ITT,Fabian Cancellara,SUI,CH
1,2007,203,Plain stage,F,Robbie McEwen,AUS,AU
2,2007,168.5,Plain stage,F,Gert Steegmans,BEL,BE
3,2007,236.5,Plain stage,F,Fabian Cancellara,SUI,CH
4,2007,193,Plain stage,F,Thor Hushovd,NOR,NO
5,2007,182.5,Intermediate stage,H,Filippo Pozzato,ITA,IT
6,2007,199.5,Plain stage,F,Tom Boonen,BEL,BE
7,2007,197.5,Mountain stage,M,Linus Gerdemann,GER,DE
8,2007,165,Mountain stage,M,Michael Rasmussen,DEN,DK
9,2007,159.5,Mountain stage,M,Mauricio Soler,COL,CO
10,2007,229.5,Plain stage,F,Cédric Vasseur,FRA,FR
11,2007,182.5,Plain stage,F,Robert Hunter,RSA,ZA
12,2007,178.5,Intermediate stage,H,Tom Boonen,BEL,BE
13,2007,54,Individual time trial,ITT,Cadel Evans,AUS,AU
14,2007,197,Mountain stage,M,Alberto Contador,ESP,ES
15,2007,196,Mountain stage,M,Kim Kirchen,LUX,LU
16,2007,218.5,Mountain stage,M,Michael Rasmussen,DEN,DK
17,2007,188.5,Intermediate stage,H,Daniele Bennati,ITA,IT
18,2007,211,Plain stage,F,Sandy Casar,FRA,FR
19,2007,55.5,Individual time trial,ITT,Levi Leipheimer,USA,US
20,2007,146,Plain stage,F,Daniele Bennati,ITA,IT
P,2006,7.1,Individual time trial,ITT,Thor Hushovd,NOR,NO
1,2006,184.5,Flat stage,F,Jimmy Casper,FRA,FR
2,2006,228.5,Flat stage,F,Robbie McEwen,AUS,AU
3,2006,216.5,Hilly stage,H,Matthias Kessler,GER,DE
4,2006,207,Flat stage,F,Robbie McEwen,AUS,AU
5,2006,225,Flat stage,F,Óscar Freire,ESP,ES
6,2006,189,Flat stage,F,Robbie McEwen,AUS,AU
7,2006,52,Individual time trial,ITT,Serhiy Honchar,UKR,UA
8,2006,181,Flat stage,F,Sylvain Calzati,FRA,FR
9,2006,169.5,Flat stage,F,Óscar Freire,ESP,ES
10,2006,190.5,Mountain stage,M,Juan Miguel Mercado,ESP,ES
11,2006,206.5,Mountain stage,M,Denis Menchov,RUS,RU
12,2006,211.5,Hilly stage,H,Yaroslav Popovych,UKR,UA
13,2006,230,Flat stage,F,Jens Voigt,GER,DE
14,2006,180.5,Hilly stage,H,Pierrick Fédrigo,FRA,FR
15,2006,187,Mountain stage,M,Fränk Schleck,LUX,LU
16,2006,182,Mountain stage,M,Michael Rasmussen,DEN,DK
17,2006,200.5,Mountain stage,M,Carlos Sastre,ESP,ES
18,2006,197,Flat stage,F,Matteo Tosatto,ITA,IT
19,2006,57,Individual time trial,ITT,Serhiy Honchar,UKR,UA
20,2006,154.5,Flat stage,F,Thor Hushovd,NOR,NO
1,2005,19,Individual time trial,ITT,David Zabriskie,USA,US
2,2005,181.5,Plain stage,F,Tom Boonen,BEL,BE
3,2005,212.5,Plain stage,F,Tom Boonen,BEL,BE
4,2005,67.5,Team time trial,TTT,Discovery Channel,,
5,2005,183,Plain stage,F,Robbie McEwen,AUS,AU
6,2005,199,Plain stage,F,Lorenzo Bernucci,ITA,IT
7,2005,228.5,Plain stage,F,Robbie McEwen,AUS,AU
8,2005,231.5,Hilly stage,H,Pieter Weening,NED,NL
9,2005,171,Hilly stage,H,Michael Rasmussen,DEN,DK
10,2005,177,Mountain stage,M,Alejandro Valverde,ESP,ES
11,2005,173,Mountain stage,M,Alexander Vinokourov,KAZ,KZ
12,2005,187,Hilly stage,H,David Moncoutié,FRA,FR
13,2005,173.5,Plain stage,F,Robbie McEwen,AUS,AU
14,2005,220.5,Mountain stage,M,Georg Totschnig,AUT,AT
15,2005,205.5,Mountain stage,M,George Hincapie,USA,US
16,2005,180.5,Mountain stage,M,Óscar Pereiro,ESP,ES
17,2005,239.5,Plain stage,F,Paolo Savoldelli,ITA,IT
18,2005,189,Hilly stage,H,Marcos Antonio Serrano,ESP,ES
19,2005,153.5,Hilly stage,H,Giuseppe Guerini,ITA,IT
20,2005,55.5,Individual time trial,ITT,Lance Armstrong,USA,US
21,2005,144.5,Plain stage,F,Alexander Vinokourov,KAZ,KZ
P,2004,6.1,Individual time trial,ITT,Fabian Cancellara,SUI,CH
1,2004,202.5,Plain stage,F,Jaan Kirsipuu,EST,EE
2,2004,197,Plain stage,F,Robbie McEwen,AUS,AU
3,2004,210,Plain stage,F,Jean-Patrick Nazon,FRA,FR
4,2004,64.5,Team time trial,TTT,U.S. Postal Service,USA,US
5,2004,200.5,Plain stage,F,Stuart O'Grady,AUS,AU
6,2004,196,Plain stage,F,Tom Boonen,BEL,BE
7,2004,204.5,Plain stage,F,Filippo Pozzato,ITA,IT
8,2004,168,Plain stage,F,Thor Hushovd,NOR,NO
9,2004,160.5,Plain stage,F,Robbie McEwen,AUS,AU
10,2004,237,Hilly stage,H,Richard Virenque,FRA,FR
11,2004,164,Hilly stage,H,David Moncoutié,FRA,FR
12,2004,197.5,Mountain stage,M,Ivan Basso,ITA,IT
13,2004,205.5,Mountain stage,M,Lance Armstrong,USA,US
14,2004,192.5,Plain stage,F,Aitor González,ESP,ES
15,2004,180.5,Mountain stage,M,Lance Armstrong,USA,US
16,2004,15.5,Individual time trial,ITT,Lance Armstrong,USA,US
17,2004,204.5,Mountain stage,M,Lance Armstrong,USA,US
18,2004,166.5,Hilly stage,H,Juan Miguel Mercado,ESP,ES
19,2004,55,Individual time trial,ITT,Lance Armstrong,USA,US
20,2004,163,Plain stage,F,Tom Boonen,BEL,BE
P,2003,6.5,Individual time trial,ITT,Bradley McGee,AUS,AU
1,2003,168,Plain stage,F,Alessandro Petacchi,ITA,IT
2,2003,204.5,Plain stage,F,Baden Cooke,AUS,AU
3,2003,167.5,Plain stage,F,Alessandro Petacchi,ITA,IT
4,2003,69,Team time trial,TTT,U.S. Postal Service,USA,US
5,2003,196.5,Plain stage,F,Alessandro Petacchi,ITA,IT
6,2003,230,Plain stage,F,Alessandro Petacchi,ITA,IT
7,2003,230.5,Stage with mountain(s),M,Richard Virenque,FRA,FR
8,2003,219,Stage with mountain(s),M,Iban Mayo,ESP,ES
9,2003,184.5,Stage with mountain(s),M,Alexander Vinokourov,KAZ,KZ
10,2003,219.5,Plain stage,F,Jakob Piil,DEN,DK
11,2003,153.5,Plain stage,F,Juan Antonio Flecha,ESP,ES
12,2003,47,Individual time trial,ITT,Jan Ullrich,GER,DE
13,2003,197.5,Stage with mountain(s),M,Carlos Sastre,ESP,ES
14,2003,191.5,Stage with mountain(s),M,Gilberto Simoni,ITA,IT
15,2003,159.5,Stage with mountain(s),M,Lance Armstrong,USA,US
16,2003,197.5,Stage with mountain(s),M,Tyler Hamilton,USA,US
17,2003,181,Plain stage,F,Servais Knaven,NED,NL
18,2003,203.5,Plain stage,F,Pablo Lastras,ESP,ES
19,2003,49,Individual time trial,ITT,David Millar,GBR,GB
20,2003,152,Plain stage,F,Jean-Patrick Nazon,FRA,FR
P,2002,7,Individual time trial,ITT,Lance Armstrong,USA,US
1,2002,192.5,Plain stage,F,Rubens Bertogliati,SUI,CH
2,2002,181,Plain stage,F,Óscar Freire,ESP,ES
3,2002,174.5,Plain stage,F,Robbie McEwen,AUS,AU
4,2002,67.5,Team time trial,TTT,ONCE–Eroski,,
5,2002,195,Plain stage,F,Jaan Kirsipuu,EST,EE
6,2002,199.5,Plain stage,F,Erik Zabel,GER,DE
7,2002,176,Plain stage,F,Bradley McGee,AUS,AU
8,2002,217.5,Plain stage,F,Karsten Kroon,NED,NL
9,2002,52,Individual time trial,ITT,Santiago Botero,COL,CO
10,2002,147,Plain stage,F,Patrice Halgand,FRA,FR
11,2002,158,Stage with mountain(s),M,Lance Armstrong,USA,US
12,2002,199.5,Stage with mountain(s),M,Lance Armstrong,USA,US
13,2002,171,Plain stage,F,David Millar,GBR,GB
14,2002,221,Stage with mountain(s),M,Richard Virenque,FRA,FR
15,2002,226.5,Hilly stage,H,Santiago Botero,COL,CO
16,2002,179.5,Stage with mountain(s),M,Michael Boogerd,NED,NL
17,2002,142,Stage with mountain(s),M,Dario Frigo,ITA,IT
18,2002,176.5,Hilly stage,H,Thor Hushovd,NOR,NO
19,2002,50,Individual time trial,ITT,Lance Armstrong,USA,US
20,2002,144,Plain stage,F,Robbie McEwen,AUS,AU
P,2001,8.2,Individual time trial,ITT,Christophe Moreau,FRA,FR
1,2001,194.5,Plain stage,F,Erik Zabel,GER,DE
2,2001,220.5,Plain stage,F,Marc Wauters,BEL,BE
3,2001,198.5,Plain stage,F,Erik Zabel,GER,DE
4,2001,215,Plain stage,F,Laurent Jalabert,FRA,FR
5,2001,67,Team time trial,TTT,Crédit Agricole,,
6,2001,211.5,Plain stage,F,Jaan Kirsipuu,EST,EE
7,2001,162.5,Hilly stage,H,Laurent Jalabert,FRA,FR
8,2001,222.5,Plain stage,F,Erik Dekker,NED,NL
9,2001,185,Plain stage,F,Serguei Ivanov,RUS,RU
10,2001,209,Stage with mountain(s),M,Lance Armstrong,USA,US
11,2001,32,Individual time trial,ITT,Lance Armstrong,USA,US
12,2001,166.5,Stage with mountain(s),M,Félix Cárdenas,COL,CO
13,2001,194,Stage with mountain(s),M,Lance Armstrong,USA,US
14,2001,141.5,Stage with mountain(s),M,Roberto Laiseka,ESP,ES
15,2001,232.5,Plain stage,F,Rik Verbrugghe,BEL,BE
16,2001,229.5,Plain stage,F,Jens Voigt,GER,DE
17,2001,194,Plain stage,F,Serge Baguet,BEL,BE
18,2001,61,Individual time trial,ITT,Lance Armstrong,USA,US
19,2001,149.5,Plain stage,F,Erik Zabel,GER,DE
20,2001,160.5,Plain stage,F,Ján Svorada,CZE,CZ
1,2000,16.5,Individual time trial,ITT,David Millar,GBR,GB
2,2000,194,Plain stage,F,Tom Steels,BEL,BE
3,2000,161.5,Plain stage,F,Tom Steels,BEL,BE
4,2000,70,Team time trial,TTT,ONCE–Deutsche Bank,,
5,2000,202,Plain stage,F,Marcel Wüst,GER,DE
6,2000,198.5,Plain stage,F,Leon van Bon,NED,NL
7,2000,205.5,Plain stage,F,Christophe Agnolutto,FRA,FR
8,2000,203.5,Plain stage,F,Erik Dekker,NED,NL
9,2000,181,Plain stage,F,Paolo Bettini,ITA,IT
10,2000,205,Stage with mountain(s),M,Javier Otxoa,ESP,ES
11,2000,218.5,Hilly stage,H,Erik Dekker,NED,NL
12,2000,149,Stage with mountain(s),M,Marco Pantani,ITA,IT
13,2000,185.5,Plain stage,F,José Vicente Garcia,ESP,ES
14,2000,249.5,Stage with mountain(s),M,Santiago Botero,COL,CO
15,2000,173.5,Stage with mountain(s),M,Marco Pantani,ITA,IT
16,2000,196.5,Stage with mountain(s),M,Richard Virenque,FRA,FR
17,2000,155,Hilly stage,H,Erik Dekker,NED,NL
18,2000,246.5,Plain stage,F,Salvatore Commesso,ITA,IT
19,2000,58.5,Individual time trial,ITT,Lance Armstrong,USA,US
20,2000,254.5,Plain stage,F,Erik Zabel,GER,DE
21,2000,138,Plain stage,F,Stefano Zanini,ITA,IT
P,1999,6.8,Individual time trial,ITT,Lance Armstrong,USA,US
1,1999,208,Plain stage,F,Jaan Kirsipuu,EST,EE
2,1999,176,Plain stage,F,Tom Steels,BEL,BE
3,1999,194.5,Plain stage,F,Tom Steels,BEL,BE
4,1999,194.5,Plain stage,F,Mario Cipollini,ITA,IT
5,1999,233.5,Plain stage,F,Mario Cipollini,ITA,IT
6,1999,171.5,Plain stage,F,Mario Cipollini,ITA,IT
7,1999,227,Plain stage,F,Mario Cipollini,ITA,IT
8,1999,56.5,Individual time trial,ITT,Lance Armstrong,USA,US
9,1999,213.5,Stage with mountain(s),M,Lance Armstrong,USA,US
10,1999,220.5,Stage with mountain(s),M,Giuseppe Guerini,ITA,IT
11,1999,198.5,Hilly stage,H,Ludo Dierckxsens,BEL,BE
12,1999,201.5,Hilly stage,H,David Etxebarria,ESP,ES
13,1999,236.5,Hilly stage,H,Salvatore Commesso,ITA,IT
14,1999,199,Plain stage,F,Dmitri Konychev,RUS,RU
15,1999,173,Stage with mountain(s),M,Fernando Escartín,ESP,ES
16,1999,192,Stage with mountain(s),M,David Etxebarria,ESP,ES
17,1999,200,Plain stage,F,Tom Steels,BEL,BE
18,1999,187.5,Plain stage,F,Giampaolo Mondini,ITA,IT
19,1999,57,Individual time trial,ITT,Lance Armstrong,USA,US
20,1999,143.5,Plain stage,F,Robbie McEwen,AUS,AU
P,1998,5.6,Individual time trial,ITT,Chris Boardman,GBR,GB
1,1998,180.5,Plain stage,F,Tom Steels,BEL,BE
2,1998,205.5,Plain stage,F,Ján Svorada,CZE,CZ
3,1998,169,Plain stage,F,Jens Heppner,GER,DE
4,1998,252,Plain stage,F,Jeroen Blijlevens,NED,NL
5,1998,228.5,Plain stage,F,Mario Cipollini,ITA,IT
6,1998,204.5,Plain stage,F,Mario Cipollini,ITA,IT
7,1998,58,Individual time trial,ITT,Jan Ullrich,GER,DE
8,1998,190.5,Plain stage,F,Jacky Durand,FRA,FR
9,1998,210,Plain stage,F,Leon van Bon,NED,NL
10,1998,196.5,Stage with mountain(s),M,Rodolfo Massi,ITA,IT
11,1998,170,Stage with mountain(s),M,Marco Pantani,ITA,IT
12,1998,222,Plain stage,F,Tom Steels,BEL,BE
13,1998,196,Plain stage,F,Daniele Nardello,ITA,IT
14,1998,186.5,Hilly stage,H,Stuart O'Grady,AUS,AU
15,1998,189,Stage with mountain(s),M,Marco Pantani,ITA,IT
16,1998,204,Stage with mountain(s),M,Jan Ullrich,GER,DE
17,1998,149,Stage with mountain(s),M,—,,
18,1998,218.5,Hilly stage,H,Tom Steels,BEL,BE
19,1998,242,Plain stage,F,Magnus Bäckstedt,SWE,SE
20,1998,52,Individual time trial,ITT,Jan Ullrich,GER,DE
21,1998,147.5,Plain stage,F,Tom Steels,BEL,BE
P,1997,7.3,Individual time trial,ITT,Chris Boardman,GBR,GB
